leverage,trades,wins,losses,win_rate,final_capital,total_return,max_drawdown,max_consecutive_losses,bankrupted
1,33,18,15,54.54545454545454,14.229311678081908,42.29311678081908,6.684168687443309,3,False
2,33,18,15,54.54545454545454,19.32733853231341,93.2733853231341,13.401620209190835,3,False
3,33,18,15,54.54545454545454,25.11814435615929,151.18144356159294,20.09211058715548,3,False
5,33,18,15,54.54545454545454,37.41193024584449,274.11930245844485,33.17840562043169,3,False
10,33,18,15,54.54545454545454,50.1261238646789,401.261238646789,62.23845491022188,3,False
20,33,18,15,54.54545454545454,1.6500705607448134,-83.49929439255186,96.97431307249835,3,False
50,3,2,1,66.66666666666666,-137.69706725083986,-1476.9706725083986,0.0,1,True
100,3,2,1,66.66666666666666,-1216.4946194586676,-12264.946194586677,0.0,1,True
