leverage,trades,wins,losses,win_rate,final_capital,total_return,max_drawdown,sharpe_ratio,profit_factor,max_consecutive_losses,bankrupted
1,60,30,30,50.0,1056.4564090297506,5.645640902975058,3.4646252371815573,0.19629909736226314,1.3853922784701784,4,False
2,60,30,30,50.0,1113.306488407695,11.33064884076951,6.8486945242139345,0.19629909736226314,1.3714709287301843,4,False
3,60,30,30,50.0,1170.3048124267689,17.0304812426769,10.152527888888605,0.19629909736226314,1.357989773786255,4,False
5,60,30,30,50.0,1283.7071430714927,28.37071430714928,16.52110491111698,0.19629909736226314,1.3322511540208104,4,False
10,60,30,30,50.0,1550.8186252694943,55.08186252694942,31.073221206537898,0.19629909736226314,1.2740723364514344,4,False
20,60,30,30,50.0,1898.813717203997,89.8813717203997,54.63772170420851,0.19629909736226314,1.177643821926192,4,False
